D,R,qhat_DA,tauhat_driver_DA,pihat_driver_cond_DA,qhat_FPi,tauhat_driver_FPi,pihat_driver_cond_FPi,Delta,benchmark
20,20,0.73,6.057,10.481643835616438,0.67,3.52,8.0,2.0378999999999996,FPi
20,40,0.87,4.194,12.008275862068967,0.88,1.5490000000000002,8.0,3.1427000000000005,FPi
40,20,0.45,7.8845,9.641333333333332,0.365,6.4879999999999995,8.0,1.2789499999999996,FPi
40,40,0.725,6.0135000000000005,10.598344827586207,0.685,3.77,8.0,1.9794499999999993,FPi
