D,R,qhat_DA,tauhat_driver_DA,pihat_driver_cond_DA,qhat_FPb,tauhat_driver_FPb,pihat_driver_cond_FPb,Delta,benchmark
20,20,0.73,6.057,10.481643835616438,0.76,10.0,8.0,1.9659,FPb
20,40,0.87,4.194,12.008275862068967,0.78,10.0,8.0,4.787800000000001,FPb
40,20,0.45,7.8845,9.641333333333332,0.33,10.0,8.0,1.9101499999999993,FPb
40,40,0.725,6.0135000000000005,10.598344827586207,0.66,10.0,8.0,2.8024499999999994,FPb
