variant,mechanism,qhat,tauhat_driver,pihat_driver_cond,mhat,pbarhat,tauhat_rider
timing_only,DA,0.5886111111111111,4.464509259259259,8.353731817231383,21.344444444444445,10.442164771539227,4.730759259259259
timing_only,FPb,0.5955555555555555,10.0,8.0,21.944444444444443,10.0,10.0
timing_only,FPi,0.5961111111111111,4.400166666666667,8.0,22.166666666666668,10.0,4.48012037037037
tradeoff_case,DA,0.5605555555555556,4.696740740740741,6.751232539347171,21.200000000000003,8.439040674183964,4.292194444444444
tradeoff_case,FPb,0.5955555555555555,10.0,8.0,21.944444444444443,10.0,10.0
tradeoff_case,FPi,0.5961111111111111,5.591851851851852,8.0,22.166666666666668,10.0,5.654768518518519
